id,player name,player names
bae68b09,Ayan Bhattacharjee,"['Ayan Bhattacharjee', 'Ayan']"
d4b8ea98,Sayan Ghosh,['Sayan Ghosh']
a446c7be,Vivek Singh,['Vivek Singh']
f9e6e7ef,Shahbaz Ahmed,"['Shahbaz Ahmed', 'Shahbaz', 'S Ahmed']"
541f85c9,SP Goswami,"['SP Goswami', 'Shreevats Goswami', 'S Goswami']"
fe11caa6,WP Saha,"['WP Saha', 'Wriddhiman Saha', 'W Saha']"
10b58586,AR Easwaran,"['AR Easwaran', 'A R Easwaran', 'Abhimanyu Easwaran']"
6033d30a,Ritwik Roy Chowdhury,['Ritwik Roy Chowdhury']
26e5cabf,MK Tiwary,"['MK Tiwary', 'Manoj Tiwary', 'M Tiwary']"
9789e56e,LM Reece,"['LM Reece', 'L Reece', 'Reece']"
c13e34f4,Haider Ali,"['Haider Ali', 'H Ali']"
86e0f3f0,WL Madsen,"['WL Madsen', 'W Madsen']"
6e6fb538,JL du Plooy,"['JL du Plooy', 'J du Plooy']"
884f72a1,TA Wood,"['TA Wood', 'T Wood']"
9f701298,MH McKiernan,"['MH McKiernan', 'M McKiernan', 'McKiernan']"
8159d5fc,BD Guest,"['BD Guest', 'B Guest']"
fe5b4367,ZJ Chappell,"['ZJ Chappell', 'Z Chappell']"
1252f71a,MRJ Watt,"['MRJ Watt', 'M Watt']"
95a06106,GLS Scrimshaw,"['GLS Scrimshaw', 'G Scrimshaw']"
28392e11,Zaman Khan,['Zaman Khan']
29ede60b,AL Davies,"['AL Davies', 'A Davies']"
b681e71e,GJ Maxwell,"['GJ Maxwell', 'G Maxwell', 'Maxwell', 'Glenn Maxwell']"
95a15317,CG Benjamin,['CG Benjamin']
876dbe2d,DR Mousley,"['DR Mousley', 'D Mousley', 'Mousley']"
a510bdd3,EG Barnard,"['EG Barnard', 'E Barnard']"
f3abd0c9,DR Briggs,"['DR Briggs', 'Danny Briggs', 'D Briggs']"
2085e1fa,HJH Brookes,"['HJH Brookes', 'H Brookes', 'Brookes']"
e5218454,JB Lintott,"['JB Lintott', 'J Lintott', 'Lintott']"
5fed6272,CN Miles,['CN Miles']
72e46d30,Noor Ali Zadran,"['Noor Ali Zadran', 'N Zadran']"
d6dcb0c9,Mohammad Shahzad,"['Mohammad Shahzad', 'M Shahzad']"
0503ae22,Nawroz Mangal,"['Nawroz Mangal', 'N Mangal']"
88679525,Asghar Stanikzai,"['Asghar Stanikzai', 'Asghar Afghan', 'A Afghan']"
1fba2ae3,Dawlat Zadran,"['Dawlat Zadran', 'D Zadran']"
2a3a3786,Aftab Alam,"['Aftab Alam', 'A Alam']"
dca1ac2e,Amir Hamza,"['Amir Hamza', 'Hamza Hotak', 'A Hamza']"
f32dbc84,CJ Chibhabha,"['CJ Chibhabha', 'Justice Chibhabha', 'C Chibhabha']"
5fef85ee,R Mutumbami,"['R Mutumbami', 'Richmond Mutumbami']"
c96311d4,CR Ervine,"['CR Ervine', 'Craig Ervine', 'C Ervine']"
26f12506,CT Mutombodzi,"['CT Mutombodzi', 'Tinotenda Mutombodzi', 'T Mutombodzi']"
d2babdd5,E Chigumbura,"['E Chigumbura', 'Elton Chigumbura']"
26d041c4,Sikandar Raza,"['Sikandar Raza', 'S Raza']"
4b2d6789,TS Chisoro,"['TS Chisoro', 'Tendai Chisoro', 'Chisoro', 'T Chisoro']"
b8704508,LM Jongwe,"['LM Jongwe', 'Luke Jongwe']"
4bc0a378,WP Masakadza,"['WP Masakadza', 'Wellington Masakadza', 'W Masakadza']"
